Consequent,Antecedent,Supp,Conf,Lift
low_SL,"('4_T', 'insufficient_LE')",0.07,0.93,6.84
N_P,"('low_SL', '4_T', 'intensive_H', 'N_WA')",0.06,1.0,1.02
N_WA,"('low_SL', '4_T', 'intensive_H', 'N_P')",0.06,0.93,1.09
intensive_H,"('low_SL', '4_T', 'N_WA', 'N_P')",0.06,0.89,1.77
N_WA,"('low_SL', '4_T', 'intensive_H')",0.06,0.93,1.08
intensive_H,"('low_SL', '4_T', 'N_WA')",0.06,0.88,1.76
N_P,"('low_SL', '4_T', 'intensive_H')",0.06,0.99,1.02
intensive_H,"('low_SL', '4_T', 'N_P')",0.06,0.87,1.73
intensive_H,"('low_SL', '4_T')",0.06,0.87,1.73
N_P,"('low_SL', '4_T', 'N_WA')",0.07,0.99,1.02
N_WA,"('low_SL', '4_T', 'N_P')",0.07,0.91,1.07
N_WA,"('low_SL', '4_T')",0.07,0.91,1.07
N_P,"('low_SL', '4_T')",0.07,0.99,1.01
N_P,"('low_SL', 'Y_L', 'insufficient_LE', 'intensive_H', 'N_WA')",0.06,1.0,1.02
N_WA,"('low_SL', 'Y_L', 'insufficient_LE', 'intensive_H', 'N_P')",0.06,0.95,1.11
intensive_H,"('low_SL', 'Y_L', 'insufficient_LE', 'N_WA', 'N_P')",0.06,0.96,1.9
insufficient_LE,"('low_SL', 'Y_L', 'intensive_H', 'N_WA', 'N_P')",0.06,1.0,3.86
low_SL,"('Y_L', 'insufficient_LE', 'intensive_H', 'N_WA', 'N_P')",0.06,0.97,7.11
N_WA,"('low_SL', 'Y_L', 'insufficient_LE', 'intensive_H')",0.06,0.95,1.11
intensive_H,"('low_SL', 'Y_L', 'insufficient_LE', 'N_WA')",0.06,0.96,1.91
insufficient_LE,"('low_SL', 'Y_L', 'intensive_H', 'N_WA')",0.06,1.0,3.86
low_SL,"('Y_L', 'insufficient_LE', 'intensive_H', 'N_WA')",0.06,0.97,7.12
N_P,"('low_SL', 'Y_L', 'insufficient_LE', 'intensive_H')",0.06,1.0,1.02
intensive_H,"('low_SL', 'Y_L', 'insufficient_LE', 'N_P')",0.06,0.95,1.9
insufficient_LE,"('low_SL', 'Y_L', 'intensive_H', 'N_P')",0.06,1.0,3.86
low_SL,"('Y_L', 'insufficient_LE', 'intensive_H', 'N_P')",0.06,0.97,7.12
intensive_H,"('low_SL', 'Y_L', 'insufficient_LE')",0.06,0.95,1.9
insufficient_LE,"('low_SL', 'Y_L', 'intensive_H')",0.06,1.0,3.86
low_SL,"('Y_L', 'insufficient_LE', 'intensive_H')",0.06,0.97,7.12
N_P,"('low_SL', 'Y_L', 'insufficient_LE', 'N_WA')",0.06,1.0,1.02
N_WA,"('low_SL', 'Y_L', 'insufficient_LE', 'N_P')",0.06,0.95,1.11
insufficient_LE,"('low_SL', 'Y_L', 'N_WA', 'N_P')",0.06,1.0,3.86
N_WA,"('low_SL', 'Y_L', 'insufficient_LE')",0.06,0.95,1.11
insufficient_LE,"('low_SL', 'Y_L', 'N_WA')",0.06,1.0,3.86
N_P,"('low_SL', 'Y_L', 'insufficient_LE')",0.06,1.0,1.02
insufficient_LE,"('low_SL', 'Y_L', 'N_P')",0.06,1.0,3.86
insufficient_LE,"('low_SL', 'Y_L')",0.06,1.0,3.86
N_P,"('low_SL', 'Y_L', 'intensive_H', 'N_WA')",0.06,1.0,1.02
N_WA,"('low_SL', 'Y_L', 'intensive_H', 'N_P')",0.06,0.95,1.11
