,Consequent,Antecedent,Supp,Conf,Lift
2915,Y_L,"('insufficient_LE', 'N_P')",0.15,0.6,2.51
2917,Y_L,"('insufficient_LE',)",0.15,0.59,2.49
2928,Y_L,"('medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.06,0.72,3.03
2934,Y_L,"('medium_SL', '3_T', 'low_S', 'standard_H', 'N_WA')",0.06,0.72,3.03
2940,Y_L,"('medium_SL', '3_T', 'low_S', 'standard_H', 'N_P')",0.06,0.69,2.89
2945,Y_L,"('medium_SL', '3_T', 'low_S', 'standard_H')",0.06,0.69,2.89
2951,Y_L,"('medium_SL', '3_T', 'low_S', 'N_WA', 'N_P')",0.06,0.59,2.46
2956,Y_L,"('medium_SL', '3_T', 'low_S', 'N_WA')",0.06,0.59,2.46
2961,Y_L,"('medium_SL', '3_T', 'low_S', 'N_P')",0.06,0.55,2.31
2965,Y_L,"('medium_SL', '3_T', 'low_S')",0.06,0.55,2.31
2971,Y_L,"('medium_SL', '3_T', 'standard_H', 'N_WA', 'N_P')",0.1,0.65,2.75
2976,Y_L,"('medium_SL', '3_T', 'standard_H', 'N_WA')",0.1,0.65,2.74
2981,Y_L,"('medium_SL', '3_T', 'standard_H', 'N_P')",0.1,0.62,2.6
2985,Y_L,"('medium_SL', '3_T', 'standard_H')",0.1,0.62,2.59
2990,Y_L,"('medium_SL', '3_T', 'N_WA', 'N_P')",0.1,0.51,2.14
2994,Y_L,"('medium_SL', '3_T', 'N_WA')",0.1,0.51,2.13
3005,Y_L,"('medium_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.06,0.53,2.24
3010,Y_L,"('medium_SL', 'low_S', 'standard_H', 'N_WA')",0.06,0.53,2.23
