,Consequent,Antecedent,Supp,Conf,Lift,Consequent_
5822,N_L,"('medium_S', 'high_SL', 'standard_H', 'N_WA', 'N_P')",0.074,0.986,1.294, Left:N 
3885,N_L,"('3_NP', 'medium_S', 'standard_H', 'N_P')",0.063,0.985,1.293, Left:N 
4724,N_L,"('4_NP', 'standard_H')",0.13,0.985,1.293, Left:N 
2528,N_L,"('2_T', 'low_S', 'N_P')",0.1,0.986,1.293, Left:N 
5646,N_L,"('3_T', 'high_SL', 'low_S', 'N_WA')",0.075,0.985,1.293, Left:N 
3989,N_L,"('3_NP', 'high_SL', 'N_P')",0.152,0.985,1.293, Left:N 
3449,N_L,"('good_LE', '3_T', 'high_SL', 'N_WA')",0.054,0.985,1.293, Left:N 
3446,N_L,"('good_LE', '3_T', 'high_SL', 'N_WA', 'N_P')",0.053,0.985,1.293, Left:N 
3701,N_L,"('3_NP', '0_D', 'N_P')",0.07,0.985,1.293, Left:N 
3702,N_L,"('3_NP', '0_D')",0.072,0.985,1.293, Left:N 
4041,N_L,"('3_NP', 'standard_H', 'N_P')",0.137,0.985,1.293, Left:N 
2373,N_L,"('2_T', '4_NP')",0.075,0.985,1.293, Left:N 
2372,N_L,"('2_T', '4_NP', 'N_P')",0.074,0.985,1.293, Left:N 
4043,N_L,"('3_NP', 'standard_H')",0.14,0.985,1.293, Left:N 
5165,N_L,"('very good_LE', 'high_SL', 'standard_H', 'N_WA')",0.112,0.984,1.292, Left:N 
5993,N_L,"('high_SL', 'standard_H', 'N_P')",0.199,0.984,1.292, Left:N 
4517,N_L,"('4_NP', '3_T', 'intensive_H', 'N_WA')",0.05,0.984,1.292, Left:N 
2544,N_L,"('2_T', 'standard_H')",0.106,0.985,1.292, Left:N 
4721,N_L,"('4_NP', 'standard_H', 'N_WA')",0.11,0.984,1.292, Left:N 
4533,N_L,"('4_NP', '3_T', 'N_WA')",0.099,0.984,1.292, Left:N 
2542,N_L,"('2_T', 'standard_H', 'N_P')",0.105,0.984,1.292, Left:N 
5299,N_L,"('very good_LE', 'standard_H', 'N_WA')",0.112,0.984,1.292, Left:N 
3955,N_L,"('3_NP', 'high_SL', 'intensive_H', 'N_WA', 'N_P')",0.063,0.984,1.292, Left:N 
3959,N_L,"('3_NP', 'high_SL', 'intensive_H', 'N_WA')",0.065,0.985,1.292, Left:N 
3768,N_L,"('3_NP', 'very good_LE')",0.101,0.984,1.291, Left:N 
3941,N_L,"('3_NP', 'high_SL', 'standard_H', 'N_P')",0.076,0.984,1.291, Left:N 
3735,N_L,"('3_NP', 'very good_LE', 'high_SL', 'N_P')",0.099,0.983,1.291, Left:N 
3738,N_L,"('3_NP', 'very good_LE', 'high_SL')",0.101,0.984,1.291, Left:N 
3943,N_L,"('3_NP', 'high_SL', 'standard_H')",0.077,0.984,1.291, Left:N 
5077,N_L,"('very good_LE', 'high_SL', 'low_S', 'standard_H', 'N_P')",0.061,0.984,1.291, Left:N 
5257,N_L,"('very good_LE', 'low_S', 'standard_H', 'N_P')",0.061,0.984,1.291, Left:N 
3767,N_L,"('3_NP', 'very good_LE', 'N_P')",0.099,0.983,1.291, Left:N 
3471,N_L,"('good_LE', '3_T', 'intensive_H')",0.056,0.983,1.29, Left:N 
2370,N_L,"('2_T', '4_NP', 'N_WA')",0.062,0.983,1.29, Left:N 
3986,N_L,"('3_NP', 'high_SL', 'N_WA')",0.128,0.983,1.29, Left:N 
2559,N_L,"('2_T', 'intensive_H')",0.106,0.983,1.29, Left:N 
3908,N_L,"('3_NP', 'medium_S')",0.122,0.983,1.29, Left:N 
2368,N_L,"('2_T', '4_NP', 'N_WA', 'N_P')",0.061,0.983,1.29, Left:N 
3882,N_L,"('3_NP', 'medium_S', 'standard_H', 'N_WA')",0.053,0.983,1.29, Left:N 
2526,N_L,"('2_T', 'low_S', 'N_WA')",0.081,0.982,1.289, Left:N 
5987,N_L,"('high_SL', 'standard_H', 'N_WA', 'N_P')",0.165,0.982,1.289, Left:N 
3699,N_L,"('3_NP', '0_D', 'N_WA')",0.059,0.982,1.289, Left:N 
3983,N_L,"('3_NP', 'high_SL', 'N_WA', 'N_P')",0.125,0.982,1.289, Left:N 
3469,N_L,"('good_LE', '3_T', 'intensive_H', 'N_P')",0.055,0.982,1.289, Left:N 
4005,N_L,"('3_NP', 'low_S', 'standard_H', 'N_P')",0.062,0.982,1.289, Left:N 
4007,N_L,"('3_NP', 'low_S', 'standard_H')",0.063,0.982,1.289, Left:N 
3697,N_L,"('3_NP', '0_D', 'N_WA', 'N_P')",0.058,0.982,1.289, Left:N 
3788,N_L,"('3_NP', 'medium_SL')",0.097,0.982,1.289, Left:N 
3879,N_L,"('3_NP', 'medium_S', 'standard_H', 'N_WA', 'N_P')",0.052,0.982,1.289, Left:N 
2558,N_L,"('2_T', 'intensive_H', 'N_P')",0.104,0.982,1.289, Left:N 
3659,N_L,"('good_LE', 'standard_H')",0.122,0.982,1.289, Left:N 
3907,N_L,"('3_NP', 'medium_S', 'N_P')",0.119,0.982,1.289, Left:N 
4038,N_L,"('3_NP', 'standard_H', 'N_WA')",0.114,0.982,1.289, Left:N 
3657,N_L,"('good_LE', 'standard_H', 'N_P')",0.12,0.982,1.289, Left:N 
2524,N_L,"('2_T', 'low_S', 'N_WA', 'N_P')",0.081,0.982,1.289, Left:N 
3923,N_L,"('3_NP', 'high_SL', 'low_S')",0.067,0.981,1.288, Left:N 
3921,N_L,"('3_NP', 'high_SL', 'low_S', 'N_P')",0.066,0.981,1.288, Left:N 
3787,N_L,"('3_NP', 'medium_SL', 'N_P')",0.095,0.981,1.288, Left:N 
5990,N_L,"('high_SL', 'standard_H', 'N_WA')",0.169,0.981,1.288, Left:N 
5253,N_L,"('very good_LE', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.052,0.981,1.288, Left:N 
5080,N_L,"('very good_LE', 'high_SL', 'low_S', 'standard_H')",0.062,0.981,1.288, Left:N 
5258,N_L,"('very good_LE', 'low_S', 'standard_H')",0.062,0.981,1.288, Left:N 
5069,N_L,"('very good_LE', 'high_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.052,0.981,1.288, Left:N 
2536,N_L,"('2_T', 'standard_H', 'N_WA', 'N_P')",0.087,0.981,1.288, Left:N 
3437,N_L,"('good_LE', 'medium_SL', 'N_P')",0.102,0.981,1.288, Left:N 
3438,N_L,"('good_LE', 'medium_SL')",0.104,0.982,1.288, Left:N 
2539,N_L,"('2_T', 'standard_H', 'N_WA')",0.089,0.982,1.288, Left:N 
4035,N_L,"('3_NP', 'standard_H', 'N_WA', 'N_P')",0.111,0.982,1.288, Left:N 
3765,N_L,"('3_NP', 'very good_LE', 'N_WA')",0.084,0.98,1.287, Left:N 
2570,N_L,"('2_T', 'N_WA')",0.176,0.981,1.287, Left:N 
2424,N_L,"('2_T', 'medium_SL', 'N_P')",0.08,0.98,1.287, Left:N 
3938,N_L,"('3_NP', 'high_SL', 'standard_H', 'N_WA')",0.063,0.98,1.287, Left:N 
3731,N_L,"('3_NP', 'very good_LE', 'high_SL', 'N_WA')",0.084,0.98,1.287, Left:N 
2425,N_L,"('2_T', 'medium_SL')",0.081,0.981,1.287, Left:N 
2568,N_L,"('2_T', 'N_WA', 'N_P')",0.173,0.98,1.287, Left:N 
4509,N_L,"('4_NP', '3_T', 'low_S', 'N_P')",0.055,0.981,1.287, Left:N 
5933,N_L,"('high_SL', 'low_S', 'standard_H', 'N_P')",0.093,0.98,1.287, Left:N 
3899,N_L,"('3_NP', 'medium_S', 'intensive_H')",0.057,0.979,1.286, Left:N 
3935,N_L,"('3_NP', 'high_SL', 'standard_H', 'N_WA', 'N_P')",0.062,0.98,1.286, Left:N 
5803,N_L,"('3_T', 'intensive_H')",0.158,0.98,1.286, Left:N 
3763,N_L,"('3_NP', 'very good_LE', 'N_WA', 'N_P')",0.082,0.98,1.286, Left:N 
2556,N_L,"('2_T', 'intensive_H', 'N_WA')",0.087,0.98,1.286, Left:N 
3727,N_L,"('3_NP', 'very good_LE', 'high_SL', 'N_WA', 'N_P')",0.082,0.98,1.286, Left:N 
3653,N_L,"('good_LE', 'standard_H', 'N_WA', 'N_P')",0.098,0.979,1.285, Left:N 
3655,N_L,"('good_LE', 'standard_H', 'N_WA')",0.1,0.979,1.285, Left:N 
5802,N_L,"('3_T', 'intensive_H', 'N_P')",0.154,0.979,1.285, Left:N 
4060,N_L,"('3_NP', 'intensive_H')",0.126,0.979,1.285, Left:N 
3898,N_L,"('3_NP', 'medium_S', 'intensive_H', 'N_P')",0.055,0.979,1.285, Left:N 
3903,N_L,"('3_NP', 'medium_S', 'N_WA', 'N_P')",0.098,0.979,1.285, Left:N 
3905,N_L,"('3_NP', 'medium_S', 'N_WA')",0.101,0.979,1.285, Left:N 
2554,N_L,"('2_T', 'intensive_H', 'N_WA', 'N_P')",0.085,0.979,1.285, Left:N 
4028,N_L,"('3_NP', 'low_S')",0.117,0.979,1.285, Left:N 
4027,N_L,"('3_NP', 'low_S', 'N_P')",0.115,0.979,1.285, Left:N 
3785,N_L,"('3_NP', 'medium_SL', 'N_WA')",0.08,0.978,1.284, Left:N 
4059,N_L,"('3_NP', 'intensive_H', 'N_P')",0.122,0.978,1.284, Left:N 
3564,N_L,"('good_LE', 'high_SL', 'standard_H')",0.069,0.978,1.284, Left:N 
4002,N_L,"('3_NP', 'low_S', 'standard_H', 'N_WA')",0.051,0.978,1.284, Left:N 
4686,N_L,"('4_NP', 'low_S', 'standard_H', 'N_P')",0.06,0.978,1.284, Left:N 
2517,N_L,"('2_T', 'low_S', 'standard_H')",0.051,0.978,1.284, Left:N 
5935,N_L,"('high_SL', 'low_S', 'standard_H')",0.094,0.978,1.284, Left:N 
2515,N_L,"('2_T', 'low_S', 'standard_H', 'N_P')",0.05,0.978,1.284, Left:N 
4680,N_L,"('4_NP', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.05,0.978,1.284, Left:N 
2445,N_L,"('2_T', 'medium_S')",0.092,0.978,1.284, Left:N 
2444,N_L,"('2_T', 'medium_S', 'N_P')",0.09,0.978,1.283, Left:N 
5255,N_L,"('very good_LE', 'low_S', 'standard_H', 'N_WA')",0.052,0.978,1.283, Left:N 
3435,N_L,"('good_LE', 'medium_SL', 'N_WA')",0.085,0.978,1.283, Left:N 
3433,N_L,"('good_LE', 'medium_SL', 'N_WA', 'N_P')",0.084,0.977,1.283, Left:N 
2422,N_L,"('2_T', 'medium_SL', 'N_WA')",0.068,0.978,1.283, Left:N 
4510,N_L,"('4_NP', '3_T', 'low_S')",0.056,0.978,1.283, Left:N 
2420,N_L,"('2_T', 'medium_SL', 'N_WA', 'N_P')",0.067,0.978,1.283, Left:N 
5073,N_L,"('very good_LE', 'high_SL', 'low_S', 'standard_H', 'N_WA')",0.052,0.978,1.283, Left:N 
3918,N_L,"('3_NP', 'high_SL', 'low_S', 'N_WA')",0.055,0.977,1.283, Left:N 
3915,N_L,"('3_NP', 'high_SL', 'low_S', 'N_WA', 'N_P')",0.054,0.977,1.283, Left:N 
3783,N_L,"('3_NP', 'medium_SL', 'N_WA', 'N_P')",0.078,0.977,1.283, Left:N 
3562,N_L,"('good_LE', 'high_SL', 'standard_H', 'N_P')",0.068,0.978,1.283, Left:N 
5927,N_L,"('high_SL', 'low_S', 'standard_H', 'N_WA', 'N_P')",0.077,0.977,1.282, Left:N 
5431,N_L,"('medium_SL', '3_T', 'intensive_H')",0.053,0.977,1.282, Left:N 
3429,N_L,"('good_LE', 'medium_SL', 'intensive_H')",0.051,0.976,1.281, Left:N 
5800,N_L,"('3_T', 'intensive_H', 'N_WA')",0.132,0.976,1.281, Left:N 
5798,N_L,"('3_T', 'intensive_H', 'N_WA', 'N_P')",0.129,0.976,1.281, Left:N 
5430,N_L,"('medium_SL', '3_T', 'intensive_H', 'N_P')",0.052,0.976,1.281, Left:N 
4018,N_L,"('3_NP', 'low_S', 'intensive_H', 'N_P')",0.053,0.976,1.281, Left:N 
4019,N_L,"('3_NP', 'low_S', 'intensive_H')",0.054,0.976,1.281, Left:N 
3623,N_L,"('good_LE', 'low_S', 'standard_H', 'N_P')",0.055,0.975,1.28, Left:N 
2442,N_L,"('2_T', 'medium_S', 'N_WA')",0.078,0.975,1.28, Left:N 
3625,N_L,"('good_LE', 'low_S', 'standard_H')",0.055,0.975,1.28, Left:N 
4687,N_L,"('4_NP', 'low_S', 'standard_H')",0.061,0.975,1.28, Left:N 
4057,N_L,"('3_NP', 'intensive_H', 'N_WA')",0.105,0.975,1.28, Left:N 
4023,N_L,"('3_NP', 'low_S', 'N_WA', 'N_P')",0.094,0.975,1.28, Left:N 
5930,N_L,"('high_SL', 'low_S', 'standard_H', 'N_WA')",0.078,0.975,1.28, Left:N 
4025,N_L,"('3_NP', 'low_S', 'N_WA')",0.095,0.975,1.28, Left:N 
4055,N_L,"('3_NP', 'intensive_H', 'N_WA', 'N_P')",0.102,0.975,1.279, Left:N 
4683,N_L,"('4_NP', 'low_S', 'standard_H', 'N_WA')",0.051,0.974,1.279, Left:N 
3559,N_L,"('good_LE', 'high_SL', 'standard_H', 'N_WA')",0.057,0.975,1.279, Left:N 
3556,N_L,"('good_LE', 'high_SL', 'standard_H', 'N_WA', 'N_P')",0.056,0.974,1.279, Left:N 
2440,N_L,"('2_T', 'medium_S', 'N_WA', 'N_P')",0.076,0.974,1.279, Left:N 
2364,N_L,"('2_T', '0_D')",0.059,0.973,1.278, Left:N 
2363,N_L,"('2_T', '0_D', 'N_P')",0.057,0.973,1.277, Left:N 
2301,N_L,"('5_NP', 'standard_H')",0.068,0.972,1.276, Left:N 
4482,N_L,"('4_NP', 'medium_SL')",0.09,0.971,1.275, Left:N 
2300,N_L,"('5_NP', 'standard_H', 'N_P')",0.067,0.972,1.275, Left:N 
4481,N_L,"('4_NP', 'medium_SL', 'N_P')",0.088,0.97,1.274, Left:N 
2298,N_L,"('5_NP', 'standard_H', 'N_WA')",0.056,0.969,1.271, Left:N 
2296,N_L,"('5_NP', 'standard_H', 'N_WA', 'N_P')",0.055,0.968,1.271, Left:N 
4479,N_L,"('4_NP', 'medium_SL', 'N_WA')",0.075,0.967,1.27, Left:N 
4477,N_L,"('4_NP', 'medium_SL', 'N_WA', 'N_P')",0.073,0.967,1.269, Left:N 
2021,N_L,"('4_T', 'high_SL')",0.059,0.966,1.268, Left:N 
2019,N_L,"('4_T', 'high_SL', 'N_P')",0.058,0.965,1.267, Left:N 
5752,N_L,"('3_T', 'low_S', 'intensive_H')",0.07,0.963,1.264, Left:N 
5751,N_L,"('3_T', 'low_S', 'intensive_H', 'N_P')",0.07,0.963,1.264, Left:N 
612,N_L,"('sufficient_LE', 'medium_SL', 'intensive_H')",0.063,0.961,1.261, Left:N 
696,N_L,"('sufficient_LE', 'intensive_H')",0.063,0.961,1.261, Left:N 
609,N_L,"('sufficient_LE', 'medium_SL', 'intensive_H', 'N_P')",0.061,0.96,1.26, Left:N 
5473,N_L,"('medium_SL', 'medium_S', 'intensive_H')",0.055,0.96,1.26, Left:N 
695,N_L,"('sufficient_LE', 'intensive_H', 'N_P')",0.061,0.96,1.26, Left:N 
427,N_L,"('Y_WA', 'high_SL')",0.073,0.959,1.259, Left:N 
5472,N_L,"('medium_SL', 'medium_S', 'intensive_H', 'N_P')",0.053,0.959,1.259, Left:N 
425,N_L,"('Y_WA', 'high_SL', 'N_P')",0.071,0.959,1.258, Left:N 
5749,N_L,"('3_T', 'low_S', 'intensive_H', 'N_WA')",0.058,0.957,1.257, Left:N 
5747,N_L,"('3_T', 'low_S', 'intensive_H', 'N_WA', 'N_P')",0.058,0.957,1.256, Left:N 
5560,N_L,"('medium_SL', 'intensive_H')",0.122,0.957,1.256, Left:N 
5559,N_L,"('medium_SL', 'intensive_H', 'N_P')",0.119,0.956,1.255, Left:N 
3529,N_L,"('good_LE', 'medium_S')",0.112,0.955,1.254, Left:N 
693,N_L,"('sufficient_LE', 'intensive_H', 'N_WA')",0.051,0.955,1.254, Left:N 
605,N_L,"('sufficient_LE', 'medium_SL', 'intensive_H', 'N_WA')",0.051,0.955,1.254, Left:N 
691,N_L,"('sufficient_LE', 'intensive_H', 'N_WA', 'N_P')",0.05,0.954,1.252, Left:N 
3526,N_L,"('good_LE', 'medium_S', 'N_WA')",0.092,0.954,1.252, Left:N 
3528,N_L,"('good_LE', 'medium_S', 'N_P')",0.108,0.954,1.252, Left:N 
601,N_L,"('sufficient_LE', 'medium_SL', 'intensive_H', 'N_WA', 'N_P')",0.05,0.954,1.252, Left:N 
3524,N_L,"('good_LE', 'medium_S', 'N_WA', 'N_P')",0.09,0.953,1.25, Left:N 
2053,N_L,"('4_T', 'standard_H')",0.057,0.952,1.249, Left:N 
2051,N_L,"('4_T', 'standard_H', 'N_P')",0.056,0.951,1.248, Left:N 
5557,N_L,"('medium_SL', 'intensive_H', 'N_WA')",0.1,0.949,1.246, Left:N 
3416,N_L,"('good_LE', '4_NP')",0.089,0.948,1.245, Left:N 
5555,N_L,"('medium_SL', 'intensive_H', 'N_WA', 'N_P')",0.098,0.949,1.245, Left:N 
3415,N_L,"('good_LE', '4_NP', 'N_P')",0.087,0.947,1.243, Left:N 
5515,N_L,"('medium_SL', 'low_S', 'intensive_H')",0.054,0.945,1.24, Left:N 
5514,N_L,"('medium_SL', 'low_S', 'intensive_H', 'N_P')",0.053,0.944,1.239, Left:N 
3413,N_L,"('good_LE', '4_NP', 'N_WA')",0.074,0.94,1.233, Left:N 
3411,N_L,"('good_LE', '4_NP', 'N_WA', 'N_P')",0.072,0.939,1.232, Left:N 
71,N_L,"('high_S',)",0.077,0.934,1.225, Left:N 
3498,N_L,"('good_LE', 'medium_S', 'high_SL')",0.065,0.931,1.222, Left:N 
3399,N_L,"('good_LE', '0_D')",0.065,0.93,1.221, Left:N 
70,N_L,"('high_S', 'N_P')",0.072,0.93,1.22, Left:N 
3398,N_L,"('good_LE', '0_D', 'N_P')",0.063,0.929,1.219, Left:N 
3493,N_L,"('good_LE', 'medium_S', 'high_SL', 'N_WA')",0.054,0.929,1.219, Left:N 
3496,N_L,"('good_LE', 'medium_S', 'high_SL', 'N_P')",0.063,0.928,1.219, Left:N 
437,N_L,"('Y_WA', 'standard_H', 'N_P')",0.066,0.928,1.218, Left:N 
439,N_L,"('Y_WA', 'standard_H')",0.067,0.927,1.217, Left:N 
3490,N_L,"('good_LE', 'medium_S', 'high_SL', 'N_WA', 'N_P')",0.052,0.927,1.216, Left:N 
4213,N_L,"('0_D', 'medium_S', 'high_SL')",0.055,0.926,1.215, Left:N 
3515,N_L,"('good_LE', 'medium_S', 'intensive_H')",0.057,0.925,1.214, Left:N 
4211,N_L,"('0_D', 'medium_S', 'high_SL', 'N_P')",0.052,0.923,1.211, Left:N 
3513,N_L,"('good_LE', 'medium_S', 'intensive_H', 'N_P')",0.054,0.922,1.21, Left:N 
3685,N_L,"('good_LE', 'N_WA', 'N_P')",0.197,0.922,1.21, Left:N 
450,N_L,"('Y_WA',)",0.133,0.922,1.21, Left:N 
449,N_L,"('Y_WA', 'N_P')",0.129,0.921,1.209, Left:N 
68,N_L,"('high_S', 'N_WA')",0.064,0.922,1.209, Left:N 
422,N_L,"('Y_WA', 'medium_S')",0.058,0.921,1.209, Left:N 
3396,N_L,"('good_LE', '0_D', 'N_WA')",0.053,0.918,1.205, Left:N 
421,N_L,"('Y_WA', 'medium_S', 'N_P')",0.055,0.918,1.205, Left:N 
66,N_L,"('high_S', 'N_WA', 'N_P')",0.06,0.917,1.204, Left:N 
4585,N_L,"('4_NP', 'medium_S')",0.117,0.917,1.204, Left:N 
446,N_L,"('Y_WA', 'intensive_H')",0.066,0.917,1.204, Left:N 
418,N_L,"('Y_WA', '3_T')",0.055,0.917,1.204, Left:N 
417,N_L,"('Y_WA', '3_T', 'N_P')",0.053,0.918,1.204, Left:N 
3394,N_L,"('good_LE', '0_D', 'N_WA', 'N_P')",0.052,0.917,1.203, Left:N 
3404,N_L,"('good_LE', '4_NP', 'high_SL')",0.05,0.916,1.202, Left:N 
4584,N_L,"('4_NP', 'medium_S', 'N_P')",0.112,0.915,1.2, Left:N 
445,N_L,"('Y_WA', 'intensive_H', 'N_P')",0.063,0.914,1.199, Left:N 
4582,N_L,"('4_NP', 'medium_S', 'N_WA')",0.099,0.911,1.195, Left:N 
433,N_L,"('Y_WA', 'low_S', 'N_P')",0.062,0.91,1.194, Left:N 
434,N_L,"('Y_WA', 'low_S')",0.063,0.909,1.193, Left:N 
4580,N_L,"('4_NP', 'medium_S', 'N_WA', 'N_P')",0.095,0.908,1.191, Left:N 
4084,N_L,"('0_D', '4_NP')",0.072,0.903,1.185, Left:N 
3646,N_L,"('good_LE', 'low_S')",0.108,0.902,1.184, Left:N 
3645,N_L,"('good_LE', 'low_S', 'N_P')",0.108,0.902,1.183, Left:N 
3612,N_L,"('good_LE', 'high_SL')",0.141,0.901,1.182, Left:N 
3110,N_WA,"('Y_L', 'low_S', 'intensive_H')",0.073,0.96,1.122, Work_Accident:N 
3107,N_WA,"('Y_L', 'low_S', 'intensive_H', 'N_P')",0.073,0.96,1.122, Work_Accident:N 
3019,N_WA,"('Y_L', 'medium_SL', 'low_S', 'N_P')",0.064,0.958,1.12, Work_Accident:N 
2919,N_WA,"('Y_L', '0_D', 'N_P')",0.064,0.958,1.12, Work_Accident:N 
1374,N_WA,"('2_NP', 'Y_L', 'low_S', 'N_P')",0.061,0.957,1.119, Work_Accident:N 
3119,N_WA,"('Y_L', 'low_S', 'N_P')",0.138,0.957,1.119, Work_Accident:N 
2947,N_WA,"('Y_L', 'medium_SL', '3_T', 'low_S', 'N_P')",0.06,0.957,1.119, Work_Accident:N 
1194,N_WA,"('2_NP', 'Y_L', 'medium_SL', 'low_S', 'standard_H', 'N_P')",0.059,0.957,1.119, Work_Accident:N 
2923,N_WA,"('Y_L', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_P')",0.059,0.957,1.119, Work_Accident:N 
2838,N_WA,"('Y_L', 'insufficient_LE', 'medium_S')",0.055,0.957,1.119, Work_Accident:N 
1218,N_WA,"('2_NP', 'Y_L', 'medium_SL', 'low_S', 'N_P')",0.06,0.957,1.119, Work_Accident:N 
3001,N_WA,"('Y_L', 'medium_SL', 'low_S', 'standard_H', 'N_P')",0.061,0.957,1.119, Work_Accident:N 
3059,N_WA,"('Y_L', '3_T', 'low_S', 'N_P')",0.062,0.957,1.119, Work_Accident:N 
1354,N_WA,"('2_NP', 'Y_L', 'low_S', 'standard_H', 'N_P')",0.06,0.956,1.118, Work_Accident:N 
1098,N_WA,"('2_NP', 'Y_L', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_P')",0.059,0.957,1.118, Work_Accident:N 
1126,N_WA,"('2_NP', 'Y_L', 'medium_SL', '3_T', 'low_S', 'N_P')",0.059,0.957,1.118, Work_Accident:N 
1298,N_WA,"('2_NP', 'Y_L', '3_T', 'low_S', 'N_P')",0.059,0.956,1.118, Work_Accident:N 
3043,N_WA,"('Y_L', '3_T', 'low_S', 'standard_H', 'N_P')",0.06,0.956,1.118, Work_Accident:N 
3121,N_WA,"('Y_L', 'low_S')",0.138,0.956,1.118, Work_Accident:N 
2835,N_WA,"('Y_L', 'insufficient_LE', 'medium_S', 'N_P')",0.054,0.957,1.118, Work_Accident:N 
3039,N_WA,"('Y_L', 'medium_SL', 'N_P')",0.104,0.956,1.117, Work_Accident:N 
3021,N_WA,"('Y_L', 'medium_SL', 'low_S')",0.064,0.955,1.117, Work_Accident:N 
1274,N_WA,"('2_NP', 'Y_L', '3_T', 'low_S', 'standard_H', 'N_P')",0.059,0.956,1.117, Work_Accident:N 
2952,N_WA,"('Y_L', 'medium_SL', '3_T', 'low_S')",0.06,0.955,1.116, Work_Accident:N 
1377,N_WA,"('2_NP', 'Y_L', 'low_S')",0.061,0.954,1.116, Work_Accident:N 
1200,N_WA,"('2_NP', 'Y_L', 'medium_SL', 'low_S', 'standard_H')",0.06,0.954,1.116, Work_Accident:N 
89,N_WA,"('5_T', 'Y_L', 'N_P')",0.053,0.954,1.116, Work_Accident:N 
3027,N_WA,"('Y_L', 'medium_SL', 'standard_H', 'N_P')",0.099,0.955,1.116, Work_Accident:N 
2819,N_WA,"('Y_L', 'insufficient_LE', '3_T', 'N_P')",0.084,0.954,1.116, Work_Accident:N 
2823,N_WA,"('Y_L', 'insufficient_LE', '3_T')",0.084,0.955,1.116, Work_Accident:N 
2899,N_WA,"('Y_L', 'insufficient_LE', 'intensive_H', 'N_P')",0.06,0.955,1.116, Work_Accident:N 
2901,N_WA,"('Y_L', 'insufficient_LE', 'intensive_H')",0.061,0.955,1.116, Work_Accident:N 
2779,N_WA,"('Y_L', 'insufficient_LE', '3_T', 'low_S', 'N_P')",0.052,0.955,1.116, Work_Accident:N 
2920,N_WA,"('Y_L', '0_D')",0.065,0.955,1.116, Work_Accident:N 
2784,N_WA,"('Y_L', 'insufficient_LE', '3_T', 'low_S')",0.052,0.955,1.116, Work_Accident:N 
3040,N_WA,"('Y_L', 'medium_SL')",0.105,0.954,1.116, Work_Accident:N 
1223,N_WA,"('2_NP', 'Y_L', 'medium_SL', 'low_S')",0.06,0.955,1.116, Work_Accident:N 
722,N_WA,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H')",0.051,0.955,1.116, Work_Accident:N 
833,N_WA,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'standard_H')",0.051,0.955,1.116, Work_Accident:N 
808,N_WA,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', '3_T')",0.082,0.954,1.116, Work_Accident:N 
781,N_WA,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H')",0.082,0.954,1.116, Work_Accident:N 
753,N_WA,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S')",0.051,0.955,1.116, Work_Accident:N 
1946,N_WA,"('4_T', 'Y_L', 'insufficient_LE', 'intensive_H', 'N_P')",0.052,0.954,1.116, Work_Accident:N 
1951,N_WA,"('4_T', 'Y_L', 'insufficient_LE', 'intensive_H')",0.052,0.955,1.116, Work_Accident:N 
746,N_WA,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_P')",0.05,0.954,1.116, Work_Accident:N 
2637,N_WA,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'standard_H')",0.082,0.954,1.116, Work_Accident:N 
714,N_WA,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_P')",0.05,0.954,1.116, Work_Accident:N 
854,N_WA,"('2_NP', 'Y_L', 'insufficient_LE', 'medium_SL', 'low_S', 'N_P')",0.051,0.955,1.116, Work_Accident:N 
1402,N_WA,"('2_NP', 'Y_L', 'N_P')",0.099,0.955,1.116, Work_Accident:N 
3099,N_WA,"('Y_L', 'low_S', 'standard_H', 'N_P')",0.065,0.955,1.116, Work_Accident:N 
3079,N_WA,"('Y_L', '3_T', 'N_P')",0.1,0.955,1.116, Work_Accident:N 
2613,N_WA,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S')",0.051,0.955,1.116, Work_Accident:N 
2607,N_WA,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'N_P')",0.051,0.955,1.116, Work_Accident:N 
2586,N_WA,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H')",0.051,0.955,1.116, Work_Accident:N 
2579,N_WA,"('Y_L', 'insufficient_LE', 'medium_SL', '3_T', 'low_S', 'standard_H', 'N_P')",0.05,0.955,1.116, Work_Accident:N 
