Consequent,Antecedent,Supp,Conf,Lift
N_P,"('11_SL', 'N_L', 'N_WA')",0.06,0.97,0.99
N_WA,"('11_SL', 'N_L', 'N_P')",0.06,0.82,0.96
N_WA,"('11_SL', 'N_L')",0.06,0.82,0.96
N_P,"('11_SL', 'N_L')",0.07,0.97,0.99
N_L,"('11_SL', 'N_P')",0.07,0.8,1.05
N_L,"('11_SL',)",0.07,0.81,1.06
N_P,"('11_SL', 'N_WA')",0.08,0.97,0.99
N_WA,"('11_SL', 'N_P')",0.08,0.85,1.0
N_WA,"('11_SL',)",0.08,0.85,1.0
N_P,"('11_SL',)",0.09,0.97,0.99
N_P,"('5_T', 'Y_L', 'N_WA')",0.05,1.0,1.02
N_WA,"('5_T', 'Y_L', 'N_P')",0.05,0.95,1.12
N_WA,"('5_T', 'Y_L')",0.05,0.95,1.11
N_P,"('5_T', 'Y_L')",0.06,1.0,1.02
N_WA,"('5_T', 'low_S', 'N_P')",0.05,0.9,1.06
N_WA,"('5_T', 'low_S')",0.05,0.9,1.05
N_P,"('5_T', 'low_S')",0.05,0.99,1.01
N_P,"('5_T', 'N_WA')",0.09,0.99,1.01
N_WA,"('5_T', 'N_P')",0.09,0.89,1.04
N_WA,"('5_T',)",0.09,0.88,1.03
N_P,"('5_T',)",0.1,0.99,1.01
N_WA,"('11_LE', 'low_S')",0.04,0.89,1.05
N_P,"('11_LE', 'low_S')",0.05,0.99,1.01
